"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 11 10:31:53 GMT 2022","Mon Apr 11 10:32:51 GMT 2022","57864","","Withdraw page","","Withdraw page","Check wallet field entry","Check wallet field entry",""
"passed","Mon Apr 11 10:21:41 GMT 2022","Mon Apr 11 10:21:44 GMT 2022","2465","","Homepage","","Homepage","Can navigate to Home page using main nav tab","Can navigate to Home page using main nav tab",""
"passed","Mon Apr 11 10:21:25 GMT 2022","Mon Apr 11 10:21:27 GMT 2022","1929","","Homepage","","Homepage","Navigate to staking page via link on homepage body","Navigate to staking page via link on homepage body",""
"passed","Mon Apr 11 10:25:38 GMT 2022","Mon Apr 11 10:25:56 GMT 2022","18098","","Staking and Association tests","","Staking and Association tests","Go to staking and connect ethereum wallet","Go to staking and connect ethereum wallet",""
"passed","Mon Apr 11 10:19:19 GMT 2022","Mon Apr 11 10:19:45 GMT 2022","26047","","Claim codes","","Claim codes","Invalid claims code will show error","Invalid claims code will show error",""
"broken","Mon Apr 11 10:27:18 GMT 2022","Mon Apr 11 10:27:57 GMT 2022","38180","","Staking and Association tests","","Staking and Association tests","Use maximum button on associate from wallet enters correct amount","Use maximum button on associate from wallet enters correct amount",""
"broken","Mon Apr 11 10:30:52 GMT 2022","Mon Apr 11 10:30:55 GMT 2022","2820","","Staking and Association tests","","Staking and Association tests","Cannot stake more than what is associated","Cannot stake more than what is associated",""
"broken","Mon Apr 11 10:28:32 GMT 2022","Mon Apr 11 10:29:11 GMT 2022","39210","","Staking and Association tests","","Staking and Association tests","Cannot disassociate more tokens through wallet than available","Cannot disassociate more tokens through wallet than available",""
"broken","Mon Apr 11 10:29:43 GMT 2022","Mon Apr 11 10:30:18 GMT 2022","35465","","Staking and Association tests","","Staking and Association tests","Disassociate tokens through vesting contract","Disassociate tokens through vesting contract",""
"passed","Mon Apr 11 10:21:22 GMT 2022","Mon Apr 11 10:21:25 GMT 2022","2449","","Homepage","","Homepage","Check for redeem unlocked tokens from homepage","Check for redeem unlocked tokens from homepage",""
"passed","Mon Apr 11 10:21:52 GMT 2022","Mon Apr 11 10:21:55 GMT 2022","2431","","Homepage","","Homepage","Eth wallet not connected placeholder","Eth wallet not connected placeholder",""
"passed","Mon Apr 11 10:19:12 GMT 2022","Mon Apr 11 10:19:19 GMT 2022","6507","","Claim codes","","Claim codes","Prompt to connect to eth wallet to claim if not connected","Prompt to connect to eth wallet to claim if not connected",""
"passed","Mon Apr 11 10:21:27 GMT 2022","Mon Apr 11 10:21:29 GMT 2022","2546","","Homepage","","Homepage","Navigate to governance proposals page via button link on homepage body","Navigate to governance proposals page via button link on homepage body",""
"passed","Mon Apr 11 10:21:46 GMT 2022","Mon Apr 11 10:21:50 GMT 2022","3615","","Homepage","","Homepage","Can navigate to Withdraw page using main nav tab","Can navigate to Withdraw page using main nav tab",""
"passed","Mon Apr 11 10:21:44 GMT 2022","Mon Apr 11 10:21:46 GMT 2022","2764","","Homepage","","Homepage","Can navigate to Rewards page using main nav tab","Can navigate to Rewards page using main nav tab",""
"passed","Mon Apr 11 10:20:34 GMT 2022","Mon Apr 11 10:20:50 GMT 2022","16525","","Homepage","","Homepage","Homepage displays correct information","Homepage displays correct information",""
"broken","Mon Apr 11 10:30:57 GMT 2022","Mon Apr 11 10:30:59 GMT 2022","1791","","Staking and Association tests","","Staking and Association tests","Remove stake at next epoch","Remove stake at next epoch",""
"passed","Mon Apr 11 10:21:50 GMT 2022","Mon Apr 11 10:21:52 GMT 2022","2304","","Homepage","","Homepage","Page not found error where page does not exist","Page not found error where page does not exist",""
"failed","Mon Apr 11 10:30:18 GMT 2022","Mon Apr 11 10:30:50 GMT 2022","31581","","Staking and Association tests","","Staking and Association tests","Staking validator list and epoch timer countdown","Staking validator list and epoch timer countdown",""
"broken","Mon Apr 11 10:30:55 GMT 2022","Mon Apr 11 10:30:57 GMT 2022","1936","","Staking and Association tests","","Staking and Association tests","Remove stake now","Remove stake now",""
"broken","Mon Apr 11 10:30:50 GMT 2022","Mon Apr 11 10:30:52 GMT 2022","2363","","Staking and Association tests","","Staking and Association tests","add stake from wallet","add stake from wallet",""
